product_id,sku,product_name,category,subcategory,brand,unit_price,unit_cost,active_flag
P00001,SKU-000001,Inventore Accessories,Clothing,Accessories,Donnelly-Wyatt,69.92,41.76,True
P00002,SKU-000002,Similique Bedding,Home,Bedding,Smith Ltd,111.83,67.68,True
P00003,SKU-000003,Sunt Accessories,Clothing,Accessories,Carpenter-Smith,50.89,39.62,True
P00004,SKU-000004,Repellendus Lighting,Home,Lighting,Shaw Group,34.04,21.02,True
P00005,SKU-000005,Saepe Smart Home,Electronics,Smart Home,"Lyons, Lawrence and Chandler",116.59,62.8,True
P00006,SKU-000006,Quia Fitness,Sports,Fitness,Palmer-Stanley,23.19,11.43,True
P00007,SKU-000007,Illo Snacks,Grocery,Snacks,Coates-Ford,1.94,1.24,True
P00008,SKU-000008,Quos Cosmetics,Beauty,Cosmetics,Perkins Inc,10.81,5.17,True
P00009,SKU-000009,Quia Footwear,Clothing,Footwear,Morgan and Sons,73.08,53.3,True
P00010,SKU-000010,Repellendus Fresh Produce,Grocery,Fresh Produce,Simpson-Farrell,7.86,6.2,True
P00011,SKU-000011,Pariatur Televisions,Electronics,Televisions,"Newman, Warren and Walker",63.65,40.58,True
P00012,SKU-000012,Esse Laptops,Electronics,Laptops,Chapman Inc,169.28,84.71,True
P00013,SKU-000013,Inventore Womenswear,Clothing,Womenswear,Spencer Inc,16.93,9.26,True
P00014,SKU-000014,Facere Outdoor,Sports,Outdoor,Coates-Hurst,254.65,133.24,True
P00015,SKU-000015,Quibusdam Furniture,Home,Furniture,Williams Group,48.14,37.12,True
P00016,SKU-000016,Similique Headphones,Electronics,Headphones,Hussain-Mitchell,115.53,86.95,True
P00017,SKU-000017,Laudantium Menswear,Clothing,Menswear,Khan-Brooks,46.41,34.67,True
P00018,SKU-000018,Commodi Accessories,Clothing,Accessories,"Davies, Barber and Hughes",41.83,25.2,True
P00019,SKU-000019,Repudiandae Fitness,Sports,Fitness,"Peters, Knight and Davies",37.74,25.36,True
